
"MATH 117 /0","01","1783","Lec","GEB1","003067","MWF","08:10 AM","09:00 AM","","038-0219","35","35","33","0","0","ICS"
"MATH 117 (1) /0","02","4094","Lec","GEB1","003067","MWF","11:10 AM","12:00 PM","","038-0202","35","35","23","0","0","ICS"
"MATH 117 (1) /0","03","6408","Lec","GEB1","003067","MWF","11:10 AM","12:00 PM","","038-0218","35","35","2","0","0","ICS"
