
"PSY 454 /0","01","2368","Ind","","002738","","","","","","","1","0","0","0",""
"PSY 454","02","****","Ind","","002738","","","","Burn, S","","","","","","",""
"PSY 454","03","****","Ind","","002738","","","","Sweatt, L","","","","","","",""
"PSY 454","04","****","Ind","","002738","","","","Estrada, A","","","","","","",""
"PSY 454","05","****","Ind","","002738","","","","Freberg, L","","","","","","",""
"PSY 454","06","****","Ind","","002738","","","","Langner, C","","","","","","",""
"PSY 454","07","****","Ind","","002738","","","","Levi, D","","","","","","",""
"PSY 454","08","****","Ind","","002738","","","","Bennion, K","","","","","","",""
"PSY 454","09","****","Ind","","002738","","","","Pedrotti, J","","","","","","",""
"PSY 454","10","****","Ind","","002738","","","","Williams, A","","","","","","",""
"PSY 454","11","****","Ind","","002738","","","","Ryujin, D","","","","","","",""
"PSY 454","12","****","Ind","","002738","","","","Kaczorowski, J","","","","","","",""
"PSY 454 /0","13","****","Ind","","002738","","","","","","","","","","",""
"PSY 454","14","****","Ind","","002738","","","","Bettergarcia, J","","","","","","",""
"PSY 454","15","****","Ind","","002738","","","","Cacciamani, L","","","","","","",""
"PSY 454","16","****","Ind","","002738","","","","Valencia-Laver, D","","","","","","",""
"PSY 454 /0","17","****","Ind","","002738","","","","","","","","","","",""
"PSY 454","18","****","Ind","","002738","","","","Rodgers, J","","","","","","",""
"PSY 454","19","****","Ind","","002738","","","","Bettergarcia, J","","","","","","",""
"PSY 454","20","****","Ind","","002738","","","","Daniels, D","","","","","","",""
"PSY 454","21","****","Ind","","002738","","","","Jipson, J","","","","","","",""
"PSY 454","22","****","Ind","","002738","","","","Jovanovic, J","","","","","","",""
"PSY 454","23","****","Ind","","002738","","","","Lee, L","","","","","","",""
"PSY 454","24","****","Ind","","002738","","","","Smith, T","","","","","","",""
"PSY 454 /0","25","****","Ind","","002738","","","","","","","","","","",""
