
"EE 321","01","1525","Lec","","002998","MWF","08:10 AM","09:00 AM","Chinichian, M","010-0111","38","36","0","0","0","ICS"
"EE 321","02","2917","Lec","","002998","MWF","09:10 AM","10:00 AM","Botros, N","010-0111","38","36","0","0","0","ICS"
"EE 321","03","4597","Lec","","002998","MWF","10:10 AM","11:00 AM","Botros, N","010-0111","38","36","0","0","0","ICS"
"EE 321 (1)","04","1526","Lec","","002998","MWF","03:10 PM","04:00 PM","Bland, C","014-0246","42","36","0","0","0","ICS"
"EE 321","05","5019","Lec","","002998","MWF","11:10 AM","12:00 PM","Chinichian, M","010-0226","43","36","0","0","0","ICS"
"EE 321","06","7693","Lec","","002998","MWF","12:10 PM","01:00 PM","Botros, N","192-0242","36","36","0","0","0","ICS"
"EE 321 (1)","07","7694","Lec","","002998","MWF","03:10 PM","04:00 PM","Chinichian, M","010-0115","38","36","0","0","0","ICS"
