
"MATH 461","01","1827","Ind","","000628","T","11:10 AM","12:00 PM","Champney, D","038-0135","24","25","0","0","0","ICS"
"MATH 461","02","****","Ind","","000628","","","","Bonini, V","","","","","","",""
"MATH 461","03","****","Ind","","000628","","","","Choboter, P","","","","","","",""
"MATH 461","04","****","Ind","","000628","","","","Camp, C","","","","","","",""
"MATH 461","05","****","Ind","","000628","","","","Champney, D","","","","","","",""
"MATH 461","06","****","Ind","","000628","","","","Grundmeier, T","","","","","","",""
"MATH 461","07","****","Ind","","000628","","","","Gu, C","","","","","","",""
"MATH 461","08","****","Ind","","000628","","","","Liese, J","","","","","","",""
"MATH 461","09","****","Ind","","000628","","","","Kaul, A","","","","","","",""
"MATH 461","10","****","Ind","","000628","","","","Borzellino, J","","","","","","",""
"MATH 461","11","****","Ind","","000628","","","","Kirk, C","","","","","","",""
"MATH 461","12","****","Ind","","000628","","","","Medina, E","","","","","","",""
"MATH 461","13","****","Ind","","000628","","","","Mendes, A","","","","","","",""
"MATH 461","14","****","Ind","","000628","","","","Patton, L","","","","","","",""
"MATH 461","15","****","Ind","","000628","","","","Retsek, D","","","","","","",""
"MATH 461","16","****","Ind","","000628","","","","Richert, B","","","","","","",""
"MATH 461","17","****","Ind","","000628","","","","Riley, K","","","","","","",""
"MATH 461","18","****","Ind","","000628","","","","Robbins, M","","","","","","",""
"MATH 461","19","****","Ind","","000628","","","","Shapiro, J","","","","","","",""
"MATH 461","20","****","Ind","","000628","","","","Stankus, M","","","","","","",""
"MATH 461","21","****","Ind","","000628","","","","Sze, L","","","","","","",""
"MATH 461","22","****","Ind","","000628","","","","White, M","","","","","","",""
"MATH 461","23","****","Ind","","000628","","","","Lin, J","","","","","","",""
"MATH 461","24","****","Ind","","000628","","","","Sherman, M","","","","","","",""
"MATH 461","25","****","Ind","","000628","","","","Schinck-Mikel, A","","","","","","",""
"MATH 461","26","****","Ind","","000628","","","","Easton, R","","","","","","",""
"MATH 461","27","****","Ind","","000628","","","","Hamilton, M","","","","","","",""
"MATH 461","28","****","Ind","","000628","","","","Brussel, E","","","","","","",""
"MATH 461","29","****","Ind","","000628","","","","Pearse, E","","","","","","",""
"MATH 461","30","****","Ind","","000628","","","","Paquin, D","","","","","","",""
"MATH 461 /0","31","****","Ind","","000628","","","","","","","","","","",""
"MATH 461","32","****","Ind","","000628","","","","Yoshinobu, S","","","","","","",""
