
"CSC 225 (1)","01","6878","Lec","","004057","MWF","09:10 AM","10:00 AM","Workman, J","186-C302","48","30","25","0","0","ICS"
"CSC 225 (1)","02","6879","Lab","","004057","MWF","10:10 AM","11:00 AM","Workman, J","014-0302","24","30","25","0","0","ICS"
"CSC 225 (1)","03","6880","Lec","","004057","MWF","09:10 AM","10:00 AM","Hatalsky, P","010-0231","56","30","4","0","0","ICS"
"CSC 225 (1)","04","6881","Lab","","004057","MWF","10:10 AM","11:00 AM","Hatalsky, P","014-0301","35","30","4","0","0","ICS"
"CSC 225","05","6882","Lec","","004057","MWF","11:10 AM","12:00 PM","Hatalsky, P","008-0121","36","30","11","0","0","ICS"
"CSC 225","06","6883","Lab","","004057","MWF","12:10 PM","01:00 PM","Hatalsky, P","014-0301","35","30","11","0","0","ICS"
"CSC 225","07","6884","Lec","","004057","MWF","01:10 PM","02:00 PM","Hatalsky, P","186-C300","48","30","7","0","0","ICS"
"CSC 225","08","6885","Lab","","004057","MWF","02:10 PM","03:00 PM","Hatalsky, P","014-0302","24","30","7","0","0","ICS"
"CSC 225","09","7179","Lec","","004057","MWF","03:10 PM","04:00 PM","Taylor, G","180-0112","40","30","0","0","0","ICS"
"CSC 225","10","7180","Lab","","004057","MWF","04:10 PM","05:00 PM","Taylor, G","014-0303","24","30","0","0","0","ICS"
"CSC 225","11","8271","Lec","","004057","MWF","05:10 PM","06:00 PM","Taylor, G","022-0311","30","30","0","0","0","ICS"
"CSC 225","12","8272","Lab","","004057","MWF","06:10 PM","07:00 PM","Taylor, G","014-0303","24","30","0","0","0","ICS"
