
"MU 101","01","1943","Lec","GEC3","","MWF","08:10 AM","09:00 AM","Barata, A","045-0130","30","27","0","0","0","ICS"
"MU 101","02","2486","Act","GEC3","","","","","Barata, A","","","27","0","0","0",""
"MU 101","03","4070","Lec","GEC3","","MW","01:40 PM","03:00 PM","Arrivee, D","045-0126","25","27","0","0","0","ICS"
"MU 101","04","4071","Act","GEC3","","","","","Arrivee, D","","","27","0","0","0",""
"MU 101","05","3613","Lec","GEC3","","TR","09:40 AM","11:00 AM","D'Avignon, I","045-0130","30","27","0","0","0","ICS"
"MU 101","06","3614","Act","GEC3","","","","","D'Avignon, I","","","27","0","0","0",""
"MU 101","07","1944","Lec","GEC3","","R","04:10 PM","07:00 PM","Kramer, L","045-0130","30","27","0","0","0","ICS"
"MU 101","08","2487","Act","GEC3","","","","","Kramer, L","","","27","0","0","0",""
"MU 101","09","7100","Lec","GEC3","","TR","01:40 PM","03:00 PM","Astaire, J","045-0130","30","27","0","0","0","ICS"
"MU 101","10","7101","Act","GEC3","","","","","Astaire, J","","","27","0","0","0",""
