
"STAT 252","01","2265","Lec","GEB1","002962","MTWR","07:10 AM","08:00 AM","Dekhtyar, O","014-0251","35","35","35","0","0","ICS"
"STAT 252","01","2265","Lec","GEB1","002962","F","07:10 AM","08:00 AM","Dekhtyar, O","038-0123","36","","","","",""
"STAT 252","02","2266","Lec","GEB1","002962","MTWR","08:10 AM","09:00 AM","Dekhtyar, O","014-0251","35","35","35","0","0","ICS"
"STAT 252","02","2266","Lec","GEB1","002962","F","08:10 AM","09:00 AM","Dekhtyar, O","038-0123","36","","","","",""
"STAT 252 (4)","03","4292","Lec","GEB1","002962","MTWR","09:10 AM","10:00 AM","Dekhtyar, O","014-0251","35","35","35","0","0","ICS"
"STAT 252 (4)","03","4292","Lec","GEB1","002962","F","09:10 AM","10:00 AM","Dekhtyar, O","038-0123","36","","","","",""
"STAT 252 (4)","05","4294","Lec","GEB1","002962","MTWR","09:10 AM","10:00 AM","Sklar, J","014-0250","35","35","35","0","0","ICS"
"STAT 252 (4)","05","4294","Lec","GEB1","002962","F","09:10 AM","10:00 AM","Sklar, J","035-0111B","37","","","","",""
"STAT 252 (3)","06","5636","Lec","GEB1","002962","MTWRF","03:10 PM","04:00 PM","Frame, S","033-0287","48","35","35","0","0","ICS"
"STAT 252 (4)","07","5637","Lec","GEB1","002962","MTWRF","09:10 AM","10:00 AM","Clancy, K","014-0252","35","35","35","0","0","ICS"
"STAT 252 (4)","08","5638","Lec","GEB1","002962","MTWF","03:10 PM","04:00 PM","Williams, I","014-0247","35","35","35","0","0","ICS"
"STAT 252 (4)","08","5638","Lec","GEB1","002962","R","03:10 PM","04:00 PM","Williams, I","035-0111B","37","","","","",""
"STAT 252","09","5639","Lec","GEB1","002962","MTWF","04:10 PM","05:00 PM","Williams, I","014-0247","35","35","35","0","0","ICS"
"STAT 252","09","5639","Lec","GEB1","002962","R","04:10 PM","05:00 PM","Williams, I","035-0111B","37","","","","",""
"STAT 252","10","5640","Lec","GEB1","002962","MTWF","05:10 PM","06:00 PM","Williams, I","014-0247","35","35","35","0","0","ICS"
"STAT 252","10","5640","Lec","GEB1","002962","R","05:10 PM","06:00 PM","Williams, I","035-0111B","37","","","","",""
"STAT 252","11","****","Lec","GEB1","002962","MTWF","12:10 PM","01:00 PM","Rein, S","014-0250","35","","","","","ICS"
"STAT 252","11","****","Lec","GEB1","002962","R","12:10 PM","01:00 PM","Rein, S","035-0111B","37","","","","",""
"STAT 252","12","****","Lec","GEB1","002962","MTWF","01:10 PM","02:00 PM","Rein, S","014-0250","35","","","","","ICS"
"STAT 252","12","****","Lec","GEB1","002962","R","01:10 PM","02:00 PM","Rein, S","035-0111B","37","","","","",""
"STAT 252","13","7178","Lec","GEB1","002962","MTWRF","02:10 PM","03:00 PM","Clancy, K","002-0212","49","35","35","0","0","ICS"
"STAT 252 (3)","14","6434","Lec","GEB1","002962","MTWRF","03:10 PM","04:00 PM","Clancy, K","002-0212","49","35","35","0","0","ICS"
"STAT 252","15","8676","Lec","GEB1","002962","","","","Frame, S","","","35","0","0","0",""
