
"MATH 241 (1)","01","2734","Lec","","001820","MTRF","08:10 AM","09:00 AM","White, M","038-0225","35","35","28","0","5","ICS"
"MATH 241 (5)","02","2735","Lec","","001820","MWF","09:10 AM","10:00 AM","Kato, G","053-0215","70","35","31","0","2","ICS"
"MATH 241 (5)","02","2735","Lec","","001820","T","09:10 AM","10:00 AM","Kato, G","008-0121","36","","","","",""
"MATH 241 (5)","03","2736","Lec","","001820","MWF","09:10 AM","10:00 AM","Kato, G","053-0215","70","35","28","0","1","ICS"
"MATH 241 (5)","03","2736","Lec","","001820","R","09:10 AM","10:00 AM","Kato, G","008-0121","36","","","","",""
"MATH 241 (5)","04","2737","Lec","","001820","MTRF","09:10 AM","10:00 AM","White, M","038-0225","35","35","32","0","0","ICS"
"MATH 241 (2) /0","05","2738","Lec","","001820","TR","04:10 PM","06:00 PM","","038-0135","24","35","33","0","1","ICS"
"MATH 241 (2)","06","3719","Lec","","001820","MTRF","11:10 AM","12:00 PM","Yang, F","038-0219","35","35","35","0","0","ICS"
"MATH 241 (1)","07","3977","Lec","","001820","MTRF","01:10 PM","02:00 PM","Lin, J","038-0225","35","35","30","0","0","ICS"
"MATH 241 (1)","08","4450","Lec","","001820","MTRF","01:10 PM","02:00 PM","Hesselgrave, W","038-0227","35","35","30","0","0","ICS"
"MATH 241 (2)","09","4455","Lec","","001820","MTRF","03:10 PM","04:00 PM","Hahlbeck, C","038-0227","35","35","27","0","0","ICS"
"MATH 241 (1)","10","5498","Lec","","001820","MTRF","02:10 PM","03:00 PM","Hahlbeck, C","038-0225","35","35","33","0","0","ICS"
"MATH 241 (1)","11","6114","Lec","","001820","MTRF","02:10 PM","03:00 PM","Hesselgrave, W","038-0227","35","35","32","0","0","ICS"
"MATH 241 (2)","12","6116","Lec","","001820","MTRF","03:10 PM","04:00 PM","Yang, F","038-0220","35","35","30","0","0","ICS"
"MATH 241 (2)","13","6117","Lec","","001820","MTWR","03:10 PM","04:00 PM","Liese, J","038-0222","35","35","15","0","0","ICS"
"MATH 241 (2)","14","2739","Lec","","001820","MTRF","04:10 PM","05:00 PM","Easton, R","038-0220","35","35","9","0","0","ICS"
"MATH 241 (2)","15","3923","Lec","","001820","MTWR","04:10 PM","05:00 PM","Liese, J","038-0222","35","35","1","0","0","ICS"
"MATH 241 (2)","16","7480","Lec","","001820","MTRF","11:10 AM","12:00 PM","Hesselgrave, W","038-0227","35","35","35","0","1","ICS"
"MATH 241 (2)","70","****","Lec","","001820","MTRF","08:10 AM","09:00 AM","Brussel, E","038-0218","35","","","","","ICS"
"MATH 241 (6)","71","****","Lec","","001820","MTRF","09:10 AM","10:00 AM","Brussel, E","038-0218","35","","","","","ICS"
