
"MATH 142","01","2715","Lec","GEB1","000931","MTRF","09:10 AM","10:00 AM","Retsek, D","038-0219","35","35","35","0","0","ICS"
"MATH 142 (1)","02","2709","Lec","GEB1","000931","MTRF","10:10 AM","11:00 AM","Hamilton, M","038-0218","35","35","35","0","0","ICS"
"MATH 142 (1)","03","2710","Lec","GEB1","000931","MTRF","10:10 AM","11:00 AM","Retsek, D","038-0219","35","35","35","0","0","ICS"
"MATH 142 (1)","04","3625","Lec","GEB1","000931","MTWR","12:10 PM","01:00 PM","Camp, C","038-0202","35","35","35","0","0","ICS"
"MATH 142 (1)","05","2711","Lec","GEB1","000931","MTRF","12:10 PM","01:00 PM","Choboter, P","038-0148","37","35","35","0","0","ICS"
"MATH 142 (3)","06","3624","Lec","GEB1","000931","MTRF","01:10 PM","02:00 PM","Kaul, A","014-0251","35","35","35","0","0","ICS"
"MATH 142 (3)","07","2712","Lec","GEB1","000931","MTWR","01:10 PM","02:00 PM","Camp, C","038-0202","35","35","35","0","0","ICS"
"MATH 142 (3)","08","2713","Lec","GEB1","000931","MTRF","01:10 PM","02:00 PM","Choboter, P","038-0148","37","35","30","0","0","ICS"
"MATH 142 (3)","09","3475","Lec","GEB1","000931","MTWR","01:10 PM","02:00 PM","Grundmeier, T","038-0222","35","35","22","0","0","ICS"
"MATH 142 (1)","10","2714","Lec","GEB1","000931","MTWR","02:10 PM","03:00 PM","Grundmeier, T","038-0222","35","35","19","0","0","ICS"
"MATH 142 (1)","11","3683","Lec","GEB1","000931","MTRF","02:10 PM","03:00 PM","Shapiro, J","180-0112","40","35","9","0","0","ICS"
"MATH 142 /0","12","3976","Lec","GEB1","000931","MTRF","03:10 PM","04:00 PM","","038-0226","35","35","30","0","0","ICS"
"MATH 142 /0","13","5957","Lec","GEB1","000931","MTRF","04:10 PM","05:00 PM","","038-0226","35","35","11","0","0","ICS"
