
"MATH 182 (1)","01","3747","Lec","GEB1","000824","MTRF","11:10 AM","12:00 PM","Jenkin, B","038-0226","35","35","35","2","0","ICS"
"MATH 182","02","4442","Lec","GEB1","000824","MTRF","12:10 PM","01:00 PM","Jenkin, B","038-0226","35","35","35","3","0","ICS"
"MATH 182","03","5499","Lec","GEB1","000824","MW","04:10 PM","06:00 PM","Yang, F","038-0219","35","35","35","0","0","ICS"
"MATH 182","04","6575","Lec","GEB1","000824","TR","04:10 PM","06:00 PM","Yang, F","038-0219","35","35","35","1","0","ICS"
