
"CPE 200","01","1427","Ind","","","","","","Oliver, J","","","30","0","0","0",""
"CPE 200 /0","02","****","Ind","","","","","","","","","","","","",""
"CPE 200 /0","03","****","Ind","","","","","","","","","","","","",""
"CPE 200 /0","04","****","Ind","","","","","","","","","","","","",""
"CPE 200 /0","05","****","Ind","","","","","","","","","","","","",""
"CPE 200 /0","06","****","Ind","","","","","","","","","","","","",""
"CPE 200 /0","07","****","Ind","","","","","","","","","","","","",""
"CPE 200 /0","08","****","Ind","","","","","","","","","","","","",""
"CPE 200 /0","09","****","Ind","","","","","","","","","","","","",""
"CPE 200 /0","10","****","Ind","","","","","","","","","","","","",""
"CPE 200 /0","11","****","Ind","","","","","","","","","","","","",""
"CPE 200 /0","12","****","Ind","","","","","","","","","","","","",""
"CPE 200 /0","13","****","Ind","","","","","","","","","","","","",""
"CPE 200 /0","14","****","Ind","","","","","","","","","","","","",""
"CPE 200 /0","15","****","Ind","","","","","","","","","","","","",""
"CPE 200 /0","16","****","Ind","","","","","","","","","","","","",""
