
"MU 200","01","1984","Ind","","","","","","Spiller, W","","","20","0","0","0",""
"MU 200","02","1991","Ind","","","","","","Arrivee, D","","","20","0","0","0",""
"MU 200","03","1985","Ind","","","","","","Barata, A","","","20","0","0","0",""
"MU 200","04","1988","Ind","","","","","","Brammeier, M","","","20","0","0","0",""
"MU 200","05","1986","Ind","","","","","","Glysson, S","","","20","0","0","0",""
"MU 200","06","1987","Ind","","","","","","D'Avignon, I","","","20","0","0","0",""
"MU 200 /0","07","1989","Ind","","","","","","","","","20","0","0","0",""
"MU 200","08","1990","Ind","","","","","","McLamore, L","","","20","0","0","0",""
"MU 200","09","2557","Ind","","","","","","Rinzler, P","","","20","0","0","0",""
"MU 200","10","2759","Ind","","","","","","Woodruff, C","","","20","0","0","0",""
