
"PHIL 126 (1)","01","4426","Lec","GEA3","002687","TR","02:10 PM","04:00 PM","Abney, K","020-0128","40","23","0","0","0","ICS"
"PHIL 126","02","4824","Lec","GEA3","002687","MW","08:10 AM","10:00 AM","Bomstad, L","186-C202","48","23","0","0","0","ICS"
"PHIL 126 (1)","03","4825","Lec","GEA3","002687","MW","04:10 PM","06:00 PM","Bomstad, L","020-0139","36","23","0","0","0","ICS"
"PHIL 126 (1)","04","5342","Lec","GEA3","002687","MW","04:10 PM","06:00 PM","McKay, I","180-0113","48","23","8","0","0","ICS"
"PHIL 126","05","5535","Lec","GEA3","002687","MW","12:10 PM","02:00 PM","McKay, I","020-0128","40","23","7","0","0","ICS"
"PHIL 126","06","7744","Lec","GEA3","002687","MW","06:10 PM","08:00 PM","McKay, I","014-0247","35","23","7","0","0","ICS"
"PHIL 126 (1) /0","07","****","Lec","GEA3","002687","TR","02:10 PM","04:00 PM","","003-0205","45","","","","","ICS"
"PHIL 126 /0","08","****","Lec","GEA3","002687","TR","06:10 PM","08:00 PM","","010-0125","40","","","","","ICS"
