
"MATH 306","01","3480","Lec","","001927","MTRF","09:10 AM","10:00 AM","Patton, L","038-0148","37","25","0","0","0","ICS"
"MATH 306","02","****","Lec","","001927","MTRF","12:10 PM","01:00 PM","Patton, L","038-0201","25","","","","","ICS"
