
"PSY 400 /0","01","2148","Ind","","000738","","","","","","","1","0","0","0",""
"PSY 400","02","****","Ind","","000738","","","","Burn, S","","","","","","",""
"PSY 400","03","****","Ind","","000738","","","","Sweatt, L","","","","","","",""
"PSY 400","04","****","Ind","","000738","","","","Estrada, A","","","","","","",""
"PSY 400","05","****","Ind","","000738","","","","Freberg, L","","","","","","",""
"PSY 400","06","****","Ind","","000738","","","","Langner, C","","","","","","",""
"PSY 400","07","****","Ind","","000738","","","","Levi, D","","","","","","",""
"PSY 400","08","****","Ind","","000738","","","","Bennion, K","","","","","","",""
"PSY 400","09","****","Ind","","000738","","","","Pedrotti, J","","","","","","",""
"PSY 400","10","****","Ind","","000738","","","","Williams, A","","","","","","",""
"PSY 400","11","****","Ind","","000738","","","","Ryujin, D","","","","","","",""
"PSY 400","12","****","Ind","","000738","","","","Kaczorowski, J","","","","","","",""
"PSY 400 /0","13","****","Ind","","000738","","","","","","","","","","",""
"PSY 400","14","****","Ind","","000738","","","","Bettergarcia, J","","","","","","",""
"PSY 400","15","****","Ind","","000738","","","","Cacciamani, L","","","","","","",""
"PSY 400","16","****","Ind","","000738","","","","Valencia-Laver, D","","","","","","",""
"PSY 400 /0","17","****","Ind","","000738","","","","","","","","","","",""
"PSY 400","18","****","Ind","","000738","","","","Rodgers, J","","","","","","",""
"PSY 400","19","****","Ind","","000738","","","","Bettergarcia, J","","","","","","",""
"PSY 400","20","****","Ind","","000738","","","","Daniels, D","","","","","","",""
"PSY 400","21","****","Ind","","000738","","","","Jipson, J","","","","","","",""
"PSY 400","22","****","Ind","","000738","","","","Jovanovic, J","","","","","","",""
"PSY 400","23","****","Ind","","000738","","","","Lee, L","","","","","","",""
"PSY 400","24","****","Ind","","000738","","","","Smith, T","","","","","","",""
"PSY 400 /0","25","****","Ind","","000738","","","","","","","","","","",""
