
"PSY 500 /0","01","2219","Ind","","000346","","","","","","","1","0","0","0",""
"PSY 500","02","****","Ind","","000346","","","","Sweatt, L","","","","","","",""
"PSY 500","03","****","Ind","","000346","","","","Moreno, J","","","","","","",""
"PSY 500","04","****","Ind","","000346","","","","Estrada, A","","","","","","",""
