
"PSY 485 /0","01","****","Ind","COOP","001463","","","","","","","","","","",""
"PSY 485","02","****","Ind","COOP","001463","","","","Ryujin, D","","","","","","",""
"PSY 485 /0","03","****","Ind","COOP","001463","","","","","","","","","","",""
